PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV
48.58859236	21156.50035	-56.64987588	-82.4374078	2.496885216	4.326859244	220.3198409	15.31604538	514.1730798	697.1396805	514.2069535
46.67950352	21422.42305	-56.19728133	-82.46609507	2.350456358	4.743666562	219.7341772	15.06543393	521.1887052	727.8097578	521.2243128
44.86218746	21676.13711	-55.75086654	-82.44241855	2.23422988	5.19925606	219.7641527	14.97836609	528.2262764	761.3642141	528.2636537
43.18480387	21924.50709	-55.28338462	-82.40424604	2.123974003	5.703673004	216.393365	15.00346837	535.1629443	798.9944467	535.2024447
41.45033473	22187.46808	-54.76727459	-82.31438464	2.02517631	6.302482277	213.5344354	15.03296653	542.7567855	845.3440254	542.7991639
39.76430059	22465.08087	-54.27071168	-82.30808735	1.909518619	6.945124041	212.9765938	15.15851501	550.4901727	897.5016649	550.534834
38.03305442	22748.62924	-53.6932915	-82.16599399	1.824288139	7.751888574	208.2105578	15.57144893	559.0140928	964.3593129	559.0621736
36.50037252	23010.38737	-53.20795484	-82.11054163	1.737636025	8.537501907	207.8118644	15.76511924	566.8801269	1033.195334	566.9313048
34.99042107	23298.56639	-52.72297113	-82.0357454	1.660948165	9.385883049	208.4611793	16.02306967	575.0364636	1113.60218	575.0911841
33.51070023	23567.81654	-52.256751	-81.91333262	1.604158533	10.33860819	210.171611	16.43525605	583.4181842	1204.870002	583.4769052
32.12689656	23848.85863	-51.75583024	-81.78709936	1.544366435	11.38410613	211.6197661	16.68301484	591.8364518	1321.059713	591.8999914
30.83912392	24114.83724	-51.23213215	-81.66684284	1.481814463	12.56540234	210.2028915	17.11386126	600.218103	1458.370618	600.2865699
29.57338318	24382.60717	-50.70994322	-81.50650127	1.43187011	13.88140131	209.7094763	17.251613	608.8850463	1622.057701	608.9589589
28.42378856	24611.28908	-50.28717155	-81.37320711	1.393746685	15.12120733	207.8593793	17.70816429	616.9991935	1789.476007	617.0782311
27.40209534	24840.30496	-49.90114147	-81.3050858	1.34815602	16.36597473	209.793239	18.245374	624.5728303	1985.791847	624.657029
26.24072765	25143.17262	-49.37604118	-81.20857294	1.289684343	18.10955879	210.0715646	18.51779025	633.8440899	2272.777989	633.9341782
25.22019465	25375.30413	-48.94132922	-81.04357992	1.260891074	19.73022044	214.6818839	18.80355451	642.3213413	2580.06864	642.4185117
24.23691466	25640.88851	-48.47835075	-80.89864926	1.224997496	21.58286264	214.9567446	19.27327688	651.0101442	2992.125691	651.11538
