PRES,HGHT,no TEMP,no DWPT,no RELH,no MIXR,DRCT,SKNT,no THTA,no THTE,no THTV,,THTA,THTE,THTV,MIXR,g/g mixr,vapour pressure,DWPT,RELH,no RELH,no DWPT,TEMP,k temp,k dep t,saturation vp,saturated mixr,6.53833504,,,,6.570893696,
735.4172467,2805.224506,4.982878142,-17.94244854,26.43154714,1.888917581,176.6036272,17.11656273,304.4548554,310.4826359,304.8006171,,310.8242414,5.88E+04,3.18E+02,3.80E+01,3.80E-02,4.50E+00,-11.37155484,33.03943393,26.43154714,-4.197883748,11.52121318,284.6712132,261.7784452,1.36E+01,1.15E+00,,,,,,
714.5686879,3045.70648,3.712116184,-19.66307202,24.86246105,1.688963104,182.0647697,17.45336846,305.6412059,311.0851257,305.9520946,,311.9923596,3.55E+04,3.18E+02,3.39E+01,3.39E-02,3.89E+00,-13.09217832,31.07807631,24.86246105,-6.121551328,10.25045122,283.4004512,260.0578217,1.25E+01,1.09E+00,,,,,,
693.3240902,3296.199061,2.348516898,-21.45887989,23.48991791,1.510116767,184.6036766,17.73549429,306.839984,311.7556144,307.1197042,,313.1829275,1.94E+04,3.19E+02,2.99E+01,2.99E-02,3.35E+00,-14.88798619,29.36239739,23.48991791,-8.049336255,8.886851938,282.0368519,258.2620138,1.14E+01,1.02E+00,,,,,,
672.0198561,3554.416321,0.84379379,-23.09113251,22.891851,1.370225732,187.6038875,18.13829826,307.9800101,312.4797527,308.2356466,,314.3050256,1.07E+04,3.20E+02,2.72E+01,2.72E-02,2.94E+00,-16.52023881,28.61481375,22.891851,-9.687381998,7.38212883,280.5321288,256.6297612,1.03E+01,9.52E-01,,,,,,
650.4435108,3822.7144,-0.785955157,-24.80580056,22.11221132,1.231055985,190.1980838,18.71482003,309.1052684,313.1864995,309.3342721,,315.4091433,5.54E+03,3.20E+02,2.43E+01,2.43E-02,2.54E+00,-18.23490686,27.64026415,22.11221132,-11.53749851,5.752379883,278.9023799,254.9150931,9.19E+00,8.79E-01,,,,,,
627.9368965,4109.55311,-2.567406142,-26.56274101,21.81941321,1.118486203,193.7634342,19.29498136,310.2735528,314.0109489,310.4832816,,316.5667878,2.78E+03,3.21E+02,2.19E+01,2.19E-02,2.21E+00,-19.99184731,27.27426651,21.81941321,-13.2451581,3.970928898,277.1209289,253.1581527,8.11E+00,8.03E-01,,,,,,
606.3615614,4392.52702,-4.37714788,-28.06451729,21.76389837,1.022645063,197.0735043,20.00810987,311.37797,314.8227044,311.5695163,,317.6600527,1.42E+03,3.22E+02,1.99E+01,1.99E-02,1.94E+00,-21.49362359,27.20487296,21.76389837,-14.84319527,2.16118716,275.3111872,251.6563764,7.13E+00,7.31E-01,,,,,,
584.4769252,4689.152229,-6.343957557,-29.58207219,21.59344038,0.925924455,201.3010722,20.62974254,312.4641767,315.6141243,312.6387014,,318.723934,7.18E+02,3.22E+02,1.78E+01,1.78E-02,1.67E+00,-23.01117849,26.99180048,21.59344038,-16.64174593,0.194377483,273.3443775,250.1388215,6.19E+00,6.58E-01,,,,,,
562.6935127,4991.858466,-8.339848227,-31.36249051,21.70139457,0.839657311,205.158636,21.54819389,313.5975998,316.4770665,313.7562575,,319.8524181,3.83E+02,3.23E+02,1.60E+01,1.60E-02,1.45E+00,-24.79159681,27.12674321,21.70139457,-18.31310062,-1.801513187,271.3484868,248.3584032,5.35E+00,5.91E-01,,,,,,
541.3070506,5298.893859,-10.4676429,-32.80232474,22.10504402,0.775244135,207.8187824,22.45087936,314.6380423,317.3147074,314.7863946,,320.8806605,2.03E+02,3.24E+02,1.45E+01,1.45E-02,1.26E+00,-26.23143104,27.63130503,22.10504402,-19.94678148,-3.92930786,269.2206921,246.918569,4.57E+00,5.25E-01,,,,,,
520.3816353,5608.843696,-12.6235909,-34.66320459,22.07652638,0.687961639,210.3413541,23.60005463,315.6937837,318.0902175,315.8251613,,321.9203851,1.14E+02,3.24E+02,1.28E+01,1.28E-02,1.07E+00,-28.09231089,27.59565798,22.07652638,-21.83944103,-6.08525586,267.0647441,245.0576891,3.88E+00,4.64E-01,,,,,,
499.9169533,5922.944937,-14.8877178,-36.10371413,22.7000143,0.628605119,212.1374861,24.87995039,316.6729741,318.878143,316.7928726,,322.8748398,6.45E+01,3.25E+02,1.15E+01,1.15E-02,9.26E-01,-29.53282043,28.37501788,22.7000143,-23.50084489,-8.34938276,264.8006172,243.6171796,3.26E+00,4.06E-01,,,,,,
480.4197619,6230.749658,-17.10818194,-37.74350996,22.84109796,0.564516771,216.9779291,26.01401504,317.6515802,319.6469187,317.759467,,323.8309323,3.92E+01,3.26E+02,1.01E+01,1.01E-02,7.83E-01,-31.17261626,28.55137245,22.84109796,-25.3765415,-10.5698469,262.5801531,241.9773837,2.74E+00,3.55E-01,,,,,,
460.0812896,6566.134279,-19.54355352,-39.54323812,23.46830838,0.512162722,220.7047822,27.31620732,318.7060472,320.5289246,318.805018,,324.8212482,2.42E+01,3.27E+02,8.98E+00,8.98E-03,6.63E-01,-32.97234442,29.33538548,23.46830838,-27.21882274,-13.00521848,260.1447815,240.1776556,2.26E+00,3.06E-01,,,,,,
440.7264059,6891.947758,-21.95385542,-41.20926242,23.98663561,0.464485423,224.9662767,28.43181528,319.6864056,321.351465,319.7764941,,325.7918139,1.57E+01,3.27E+02,7.89E+00,7.89E-03,5.58E-01,-34.63836872,29.98329451,23.98663561,-29.10868996,-15.41552038,257.7344796,238.5116313,1.86E+00,2.63E-01,,,,,,
422.473034,7214.635614,-24.28671068,-43.04820276,24.18404496,0.409621677,226.0858429,29.68883976,320.7757577,322.2572376,320.8545885,,326.7722307,1.09E+01,3.28E+02,6.83E+00,6.83E-03,4.64E-01,-36.47730906,30.2300562,24.18404496,-31.08465857,-17.74837564,255.4016244,236.6726909,1.54E+00,2.26E-01,,,,,,
403.304841,7562.697589,-26.84172651,-45.06403781,24.38563631,0.356242399,229.1736494,31.08308033,321.8962255,323.1973178,321.9647212,,327.8279443,7.65E+00,3.29E+02,5.82E+00,5.82E-03,3.78E-01,-38.49314411,30.48204539,24.38563631,-33.26240912,-20.30339147,252.8466085,234.6568559,1.24E+00,1.91E-01,,,,,,
385.92172,7889.825907,-29.25260224,-46.9782826,24.77339617,0.31802626,232.8229513,32.45307188,322.9468745,324.1137526,323.0099047,,328.8194645,5.70E+00,3.30E+02,5.02E+00,5.02E-03,3.12E-01,-40.4073889,30.96674521,24.77339617,-35.24335479,-22.7142672,250.4357328,232.7426111,1.01E+00,1.62E-01,,,,,,
368.97871,8219.359089,-31.67677304,-48.81485376,24.92556721,0.276066771,233.8310568,33.90080474,324.0318351,325.0547576,324.0843355,,329.8447329,4.41E+00,3.31E+02,4.27E+00,4.27E-03,2.54E-01,-42.24396006,31.15695901,24.92556721,-37.34053693,-25.138438,248.011562,230.9060399,8.15E-01,1.37E-01,,,,,,
352.8830372,8543.570108,-34.00551446,-50.57622825,25.23905996,0.247930299,232.4363229,35.3256494,325.1969664,326.1208816,325.245416,,330.9423798,3.58E+00,3.32E+02,3.69E+00,3.69E-03,2.09E-01,-44.00533455,31.54882495,25.23905996,-39.29596121,-27.46717942,245.6828206,229.1446655,6.63E-01,1.17E-01,,,,,,
337.0255054,8873.372119,-36.35000906,-52.46374933,25.42987855,0.221692346,236.9467471,36.52729357,326.4419828,327.2720593,326.486043,,332.1230092,2.97E+00,3.33E+02,3.14E+00,3.14E-03,1.70E-01,-45.89285563,31.78734819,25.42987855,-41.31995051,-29.81167402,243.338326,227.2571444,5.36E-01,9.89E-02,,,,,,
321.7288651,9205.299715,-38.62745237,-54.64533528,25.1870366,0.184545888,239.2680741,37.91262736,327.8430086,328.5403622,327.8779606,,333.4145857,2.54E+00,3.34E+02,2.64E+00,2.64E-03,1.37E-01,-48.07444158,31.48379575,25.1870366,-43.44864441,-32.08911733,241.0608827,225.0755584,4.34E-01,8.39E-02,,,,,,
307.5888965,9519.878387,-40.75959967,-56.59672251,24.89586642,0.158381753,239.3745468,39.30099572,329.2183518,329.8231396,329.2488074,,334.7408984,2.24E+00,3.35E+02,2.23E+00,2.23E-03,1.11E-01,-50.02582881,31.11983303,24.89586642,-45.46440442,-34.22126463,238.9287354,223.1241712,3.55E-01,7.18E-02,,,,,,
293.345081,9850.513303,-42.93001922,-58.54063001,24.47407632,0.135320785,241.8532917,40.53696274,330.813802,331.3353954,330.8395988,,336.2287935,2.00E+00,3.37E+02,1.87E+00,1.87E-03,8.82E-02,-51.96973631,30.5925954,24.47407632,-47.56103389,-36.39168418,236.7583158,221.1802637,2.88E-01,6.12E-02,,,,,,
