,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
29,440.7264059,6891.947758,-21.95385542,-41.20926242,23.98663561,0.464485423,224.9662767,28.43181528,319.6864056,321.351465,319.7764941
30,422.473034,7214.635614,-24.28671068,-43.04820276,24.18404496,0.409621677,226.0858429,29.68883976,320.7757577,322.2572376,320.8545885
31,403.304841,7562.697589,-26.84172651,-45.06403781,24.38563631,0.356242399,229.1736494,31.08308033,321.8962255,323.1973178,321.9647212
32,385.92172,7889.825907,-29.25260224,-46.9782826,24.77339617,0.31802626,232.8229513,32.45307188,322.9468745,324.1137526,323.0099047
33,368.97871,8219.359089,-31.67677304,-48.81485376,24.92556721,0.276066771,233.8310568,33.90080474,324.0318351,325.0547576,324.0843355
34,352.8830372,8543.570108,-34.00551446,-50.57622825,25.23905996,0.247930299,232.4363229,35.3256494,325.1969664,326.1208816,325.245416
35,337.0255054,8873.372119,-36.35000906,-52.46374933,25.42987855,0.221692346,236.9467471,36.52729357,326.4419828,327.2720593,326.486043
36,321.7288651,9205.299715,-38.62745237,-54.64533528,25.1870366,0.184545888,239.2680741,37.91262736,327.8430086,328.5403622,327.8779606
37,307.5888965,9519.878387,-40.75959967,-56.59672251,24.89586642,0.158381753,239.3745468,39.30099572,329.2183518,329.8231396,329.2488074
38,293.345081,9850.513303,-42.93001922,-58.54063001,24.47407632,0.135320785,241.8532917,40.53696274,330.813802,331.3353954,330.8395988
39,279.5599556,10183.20925,-45.01376903,-60.52479905,24.08333975,0.116055304,242.9097617,41.62535217,332.5901364,333.0408821,332.6123641
40,267.3183053,10493.46431,-46.84492817,-62.39019884,23.35443431,0.098468318,244.3526199,42.4901348,334.4566012,334.8412533,334.4747134
41,254.9403482,10816.90057,-48.63434332,-64.32235219,23.005306,0.082427936,244.167024,43.48098878,336.6297019,336.9588328,336.6461908
42,243.4087454,11129.08779,-50.27720507,-66.06376243,22.26145869,0.068357373,245.7864855,44.51415007,338.8710689,339.1456999,338.8845268
43,232.8192968,11428.39062,-51.7316852,-67.76494035,21.55147684,0.059770345,248.781046,45.06747694,341.2502593,341.4938993,341.2624318
44,222.3282312,11735.39568,-53.18287729,-69.61049297,20.06411806,0.050525113,249.4056917,45.13851031,343.7640603,343.9706516,343.7734025
45,212.4461121,12043.4072,-54.44229988,-71.30042196,18.49350101,0.042392892,251.2421443,45.03993673,346.6647316,346.8413799,346.6729619
46,202.5503326,12362.91056,-55.70195839,-72.95972039,17.24173872,0.034610499,251.8308635,44.78884093,349.7772777,349.9222262,349.783828
47,193.1127247,12680.5877,-56.90892324,-74.47090962,16.34916058,0.028762062,253.3967823,44.71379103,352.98646,353.1084843,352.9928106
48,184.3869444,12989.27765,-57.92749104,-75.87061565,15.47299355,0.024213039,255.0176359,44.35445761,356.408057,356.5137078,356.4134612
