PRES	HGHT	DRCT	SKNT	THTA	THTE	THTV	MIXR	DWPT	RELH	TEMP													
1007.146309	103.9646562	146.1623043	7.714645499	291.1209946	94614.67182	312.5933538	120.9139482	17.05120566	90.912743	18.56448874													
1002.241804	164.8745392	144.118491	7.613997757	291.3210169	86922.03978	312.8777303	121.3056125	17.01685461	91.89819128	18.35764979													
989.1762859	282.5046663	127.2674742	8.896347357	291.5487235	57359.3558	312.916258	120.147139	16.61668435	94.60404646	17.49270135													
960.8419789	532.8432237	119.5672247	9.808769032	292.001653	21097.61737	312.5635719	115.4379208	15.59404238	100.3808007	15.53470383													
937.0677774	746.2527336	128.7708802	10.1610043	292.6852259	12169.96263	309.2427848	92.73969715	13.87866087	85.87008995	14.14449741													
916.7216435	932.7552797	142.3925725	10.16395409	295.3486857	26242.14111	312.5303038	95.36723315	11.85887227	82.21313203	14.94449741													
898.3961395	1103.806981	159.099994	10.59373311	297.8841921	62285.75162	315.5480378	97.20933485	9.924723006	77.76746788	15.74449741													
881.1037893	1269.182457	164.6834437	11.00784432	300.3741151	150632.5336	318.0863556	96.66765017	7.829014144	72.14003744	16.54449741													
864.0020979	1440.574583	172.4748847	11.79328084	302.8967953	404711.4241	320.6559083	96.11623627	5.683525	66.7473863	17.34449741													
846.987339	1608.642966	173.3721359	12.66476734	303.9314579	314623.2291	319.6607527	84.84060612	3.330271143	60.60043294	16.68341367													
829.4064076	1785.886446	171.4360145	13.59893765	305.0454017	269942.1508	318.791165	73.87109625	0.719354267	53.92050821	16.00583142													
811.567818	1970.277852	169.5431073	14.50516227	306.1862557	231811.5445	318.1848832	64.24155505	-1.975742884	47.94145899	15.28807578													
793.862313	2157.033929	168.6785906	15.39405022	307.2962297	178962.8143	317.8312261	56.20142457	-4.442441764	43.23186505	14.51323145													
774.6300504	2364.42406	169.7389853	16.0948085	308.4725936	138094.3127	317.6860533	48.96393604	-7.005869314	38.8602667	13.59613071													
755.1035402	2579.902502	173.6866556	16.733065	309.6202099	86418.62749	317.7269691	42.92280893	-9.227157954	35.76900744	12.56902638													
735.4172467	2805.224506	176.6036272	17.11656273	310.8242414	58839.55571	318.0282655	37.99534902	-11.37155484	33.03943393	11.52121318													
714.5686879	3045.70648	182.0647697	17.45336846	311.9923596	35540.88203	318.4393114	33.87510318	-13.09217832	31.07807631	10.25045122													
693.3240902	3296.199061	184.6036766	17.73549429	313.1829275	19412.91078	318.9045552	29.94964534	-14.88798619	29.36239739	8.886851938													
672.0198561	3554.416321	187.6038875	18.13829826	314.3050256	10657.94356	319.5278934	27.24130269	-16.52023881	28.61481375	7.38212883													
650.4435108	3822.7144	190.1980838	18.71482003	315.4091433	5544.254337	320.0836434	24.29579219	-18.23490686	27.64026415	5.752379883													
627.9368965	4109.55311	193.7634342	19.29498136	316.5667878	2778.942114	320.7960422	21.90123601	-19.99184731	27.27426651	3.970928898													
606.3615614	4392.52702	197.0735043	20.00810987	317.6600527	1424.941916	321.5135629	19.88676213	-21.49362359	27.20487296	2.16118716													
584.4769252	4689.152229	201.3010722	20.62974254	318.723934	717.9128951	322.1769792	17.76060472	-23.01117849	26.99180048	0.194377483													
562.6935127	4991.858466	205.158636	21.54819389	319.8524181	383.3942592	322.9804027	16.03190524	-24.79159681	27.12674321	-1.801513187													
541.3070506	5298.893859	207.8187824	22.45087936	320.8806605	203.4698026	323.7201095	14.50643514	-26.23143104	27.63130503	-3.92930786													
520.3816353	5608.843696	210.3413541	23.60005463	321.9203851	113.7018057	324.4348006	12.8043853	-28.09231089	27.59565798	-6.08525586													
499.9169533	5922.944937	212.1374861	24.87995039	322.8748398	64.48114392	325.1437965	11.52025726	-29.53282043	28.37501788	-8.34938276													
480.4197619	6230.749658	216.9779291	26.01401504	323.8309323	39.16165733	325.8331141	10.13573722	-31.17261626	28.55137245	-10.5698469													
460.0812896	6566.134279	220.7047822	27.31620732	324.8212482	24.17072662	326.5998859	8.976627957	-32.97234442	29.33538548	-13.00521848													
440.7264059	6891.947758	224.9662767	28.43181528	325.7918139	15.74745836	327.3589442	7.885606456	-34.63836872	29.98329451	-15.41552038													
422.473034	7214.635614	226.0858429	29.68883976	326.7722307	10.88366647	328.1340591	6.831992701	-36.47730906	30.2300562	-17.74837564													
403.304841	7562.697589	229.1736494	31.08308033	327.8279443	7.651381421	328.9922132	5.822070669	-38.49314411	30.48204539	-20.30339147													
385.92172	7889.825907	232.8229513	32.45307188	328.8194645	5.698025372	329.825696	5.016612724	-40.4073889	30.96674521	-22.7142672													
368.97871	8219.359089	233.8310568	33.90080474	329.8447329	4.407410439	330.7035783	4.268503384	-42.24396006	31.15695901	-25.138438													
352.8830372	8543.570108	232.4363229	35.3256494	330.9423798	3.58402398	331.6875428	3.691212519	-44.00533455	31.54882495	-27.46717942													
337.0255054	8873.372119	236.9467471	36.52729357	332.1230092	2.968256065	332.7599211	3.143768736	-45.89285563	31.78734819	-29.81167402													
321.7288651	9205.299715	239.2680741	37.91262736	333.4145857	2.53935287	333.9518197	2.641490463	-48.07444158	31.48379575	-32.08911733													
307.5888965	9519.878387	239.3745468	39.30099572	334.7408984	2.235544407	335.1971457	2.234404012	-50.02582881	31.11983303	-34.22126463													
293.345081	9850.513303	241.8532917	40.53696274	336.2287935	1.99719452	336.6127946	1.872266838	-51.96973631	30.5925954	-36.39168418													
279.5599556	10183.20925	242.9097617	41.62535217	337.8891015	1.817820734	338.2142352	1.577458754	-53.95390535	30.10417469	-38.47543399													
267.3183053	10493.46431	244.3526199	42.4901348	339.5734579	1.691636775	339.8498077	1.33412206	-55.81930514	29.19304289	-40.30659313													
254.9403482	10816.90057	244.167024	43.48098878	341.5639628	1.590829689	341.8036252	1.1502653	-57.75145849	28.7566325	-42.09600828													
243.4087454	11129.08779	245.7864855	44.51415007	343.654739	1.513182507	343.8612385	0.985069547	-59.49286873	27.82682336	-43.73887003													
232.8192968	11428.39062	248.781046	45.06747694	345.8476583	1.455104805	346.0283877	0.856671204	-61.19404665	26.93934605	-45.19335016													
222.3282312	11735.39568	249.4056917	45.13851031	348.2075727	1.40536533	348.3599303	0.717292221	-63.03959927	25.08014758	-46.64454225													
212.4461121	12043.4072	251.2421443	45.03993673	350.803568	1.369257405	350.9331738	0.605662158	-64.72952826	23.11687626	-47.90396484													
202.5503326	12362.91056	251.8308635	44.78884093	353.6333194	1.336681273	353.7448991	0.517252162	-66.38882669	21.5521734	-49.16362335													
193.1127247	12680.5877	253.3967823	44.71379103	356.5604244	1.308895881	356.6586581	0.451645561	-67.90001592	20.43645073	-50.3705882													
184.3869444	12989.27765	255.0176359	44.35445761	359.6549467	1.288994927	359.7427823	0.400363708	-69.29972195	19.34124194	-51.389156													
175.7696947	13305.27967	254.2878356	43.54078688	363.0278262	1.272275268	363.1038772	0.34342772	-70.70559023	17.61167796	-52.35262866													
167.5329114	13617.60532	257.7760804	42.83604516	366.6274147	1.260211172	366.693179	0.294059745	-72.09439613	15.80966373	-53.20323675													
159.458106	13934.97093	259.9340843	42.13897368	370.3670834	1.247896512	370.4251506	0.257021077	-73.33905821	14.52096479	-54.07677097													
151.6997517	14254.84022	261.2635178	41.24458521	374.3275087	1.238536279	374.3783476	0.222645616	-74.48712969	13.09680093	-54.8702656													
144.5610143	14543.90746	260.0835916	39.65236184	378.2602346	1.230492219	378.3058335	0.197621258	-75.47796668	12.05007671	-55.5968745													
137.5394878	14857.52458	260.6716711	38.51259187	382.4455437	1.223959477	382.4859529	0.173213297	-76.45650546	10.89391807	-56.29979255													
131.1930933	15167.2575	258.4539096	36.82219751	386.6687592	1.221854212	386.7063707	0.159460034	-77.2619527	10.15669005	-56.84745824													
124.9863799	15456.85119	259.8098827	35.490853	390.9939573	1.218181209	391.0280844	0.143086609	-78.07395687	9.291338231	-57.4387603													
118.8604537	15764.02907	260.9420952	33.98960849	395.6688593	1.215895226	395.7008196	0.132418803	-78.75732523	8.711763344	-57.97462793													
