PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV
222.3282312	11735.39568	-46.64454225	-63.03959927	25.08014758	0.717292221	249.4056917	45.13851031	348.2075727	1.40536533	348.3599303
212.4461121	12043.4072	-47.90396484	-64.72952826	23.11687626	0.605662158	251.2421443	45.03993673	350.803568	1.369257405	350.9331738
202.5503326	12362.91056	-49.16362335	-66.38882669	21.5521734	0.517252162	251.8308635	44.78884093	353.6333194	1.336681273	353.7448991
193.1127247	12680.5877	-50.3705882	-67.90001592	20.43645073	0.451645561	253.3967823	44.71379103	356.5604244	1.308895881	356.6586581
184.3869444	12989.27765	-51.389156	-69.29972195	19.34124194	0.400363708	255.0176359	44.35445761	359.6549467	1.288994927	359.7427823
175.7696947	13305.27967	-52.35262866	-70.70559023	17.61167796	0.34342772	254.2878356	43.54078688	363.0278262	1.272275268	363.1038772
167.5329114	13617.60532	-53.20323675	-72.09439613	15.80966373	0.294059745	257.7760804	42.83604516	366.6274147	1.260211172	366.693179
159.458106	13934.97093	-54.07677097	-73.33905821	14.52096479	0.257021077	259.9340843	42.13897368	370.3670834	1.247896512	370.4251506
151.6997517	14254.84022	-54.8702656	-74.48712969	13.09680093	0.222645616	261.2635178	41.24458521	374.3275087	1.238536279	374.3783476
144.5610143	14543.90746	-55.5968745	-75.47796668	12.05007671	0.197621258	260.0835916	39.65236184	378.2602346	1.230492219	378.3058335
137.5394878	14857.52458	-56.29979255	-76.45650546	10.89391807	0.173213297	260.6716711	38.51259187	382.4455437	1.223959477	382.4859529
131.1930933	15167.2575	-56.84745824	-77.2619527	10.15669005	0.159460034	258.4539096	36.82219751	386.6687592	1.221854212	386.7063707
124.9863799	15456.85119	-57.4387603	-78.07395687	9.291338231	0.143086609	259.8098827	35.490853	390.9939573	1.218181209	391.0280844
118.8604537	15764.02907	-57.97462793	-78.75732523	8.711763344	0.132418803	260.9420952	33.98960849	395.6688593	1.215895226	395.7008196
113.224357	16057.05983	-58.41088644	-79.39468017	7.94504815	0.119970227	259.8966176	32.8252725	400.3910446	1.215108484	400.420346
107.8993202	16348.38271	-58.80956967	-79.95640211	7.32673598	0.110633713	260.612148	31.50215454	405.1918932	1.215797025	405.2192382
102.7008515	16639.22051	-59.17056031	-80.46341307	6.758945136	0.103411861	260.6019667	29.91714086	410.2625445	1.219582866	410.2884244
97.99353113	16919.10221	-59.42512294	-80.87598589	6.42759274	0.099627687	258.9925134	28.35353314	415.310219	1.223279411	415.3354586
93.48596253	17196.39245	-59.64270172	-81.25720546	5.974901185	0.094403439	256.4973811	26.69043081	420.5128326	1.228561659	420.5370483
89.37671856	17458.75418	-59.77147137	-81.58944083	5.466622939	0.089105954	256.6055582	25.28867759	425.6969475	1.237046226	425.7200861
85.6243393	17708.08333	-59.83594601	-81.88071177	5.132996671	0.086747644	252.7396878	24.21729308	430.8207979	1.247189668	430.8435952
81.99441868	17963.22816	-59.89583195	-82.1364369	4.878821369	0.085379374	251.6854993	23.02269569	436.069007	1.257394002	436.0917181
78.69311607	18207.8814	-59.82751772	-82.32205527	4.639413149	0.085365202	248.2742965	22.00727016	441.3658428	1.272590824	441.3888259
75.38571819	18458.86607	-59.74205559	-82.50447372	4.434922158	0.08603749	250.606823	21.05303113	446.9983363	1.289686075	447.0217961
72.40495222	18688.01343	-59.6610129	-82.66876924	4.282017295	0.087353153	248.1819899	20.36150563	452.3574541	1.307011084	452.3815582
69.55209366	18933.6845	-59.46450963	-82.79913588	4.041269718	0.087695553	246.2355247	19.5803267	458.0093188	1.329762054	458.0338197
66.76851625	19180.31675	-59.2445624	-82.90145955	3.860430394	0.089948028	244.3986901	18.81010152	463.8678906	1.358224637	463.8933422
64.15445832	19424.07216	-59.03041952	-82.99335132	3.655326193	0.09065209	241.4475227	18.1879338	469.6664163	1.38548045	469.6923878
61.65086494	19670.62275	-58.72952588	-83.06067656	3.428195578	0.091875641	237.9226096	17.20578724	475.7114977	1.422571112	475.7381585
59.19004151	19924.58934	-58.40511106	-83.09918864	3.209043363	0.093062258	236.1461767	16.64893442	482.0140792	1.464445877	482.0414422
56.86033639	20171.60762	-58.10971745	-83.14577623	3.047653723	0.095086796	233.8148688	16.15754641	488.2523323	1.507597298	488.2806524
54.63959087	20416.53258	-57.79532468	-83.18448888	2.891392801	0.097439937	229.7338223	15.71160168	494.569326	1.558153642	494.5987224
52.56434452	20653.62143	-57.43021065	-83.19502175	2.745143869	0.100472266	226.7474754	15.31146997	500.9245182	1.618812875	500.9552189
50.53785163	20901.93964	-57.06525641	-83.18353054	2.617543889	0.103916492	222.3484893	15.28631779	507.4458524	1.686171582	507.4780189
48.58859236	21156.50035	-56.64987588	-83.13940756	2.496885216	0.10811513	220.3198409	15.31604538	514.1730798	1.767745633	514.2069896
46.67950352	21422.42305	-56.19728133	-83.07608233	2.350456358	0.111646677	219.7341772	15.06543393	521.1887052	1.867791925	521.2242005
44.86218746	21676.13711	-55.75086654	-83.01910473	2.23422988	0.116179954	219.7641527	14.97836609	528.2262764	1.981272832	528.2637117
43.18480387	21924.50709	-55.28338462	-82.9316045	2.123974003	0.121066518	216.393365	15.00346837	535.1629443	2.115177857	535.2024664
41.45033473	22187.46808	-54.76727459	-82.81370141	2.02517631	0.127586108	213.5344354	15.03296653	542.7567855	2.287553098	542.7990269
39.76430059	22465.08087	-54.27071168	-82.70165076	1.909518619	0.132711544	212.9765938	15.15851501	550.4901727	2.490094971	550.5347371
38.03305442	22748.62924	-53.6932915	-82.55101243	1.824288139	0.141382331	208.2105578	15.57144893	559.0140928	2.763594416	559.062304
36.50037252	23010.38737	-53.20795484	-82.41985141	1.737636025	0.148220353	207.8118644	15.76511924	566.8801269	3.058950236	566.931381
34.99042107	23298.56639	-52.72297113	-82.28071052	1.660948165	0.155963033	208.4611793	16.02306967	575.0364636	3.420884937	575.0911711
33.51070023	23567.81654	-52.256751	-82.14547304	1.604158533	0.165228329	210.171611	16.43525605	583.4181842	3.850240395	583.4769865
32.12689656	23848.85863	-51.75583024	-81.98444452	1.544366435	0.176057774	211.6197661	16.68301484	591.8364518	4.440887972	591.9000122
30.83912392	24114.83724	-51.23213215	-81.80973828	1.481814463	0.186708622	210.2028915	17.11386126	600.218103	5.187655442	600.2864632
29.57338318	24382.60717	-50.70994322	-81.61367645	1.43187011	0.199029945	209.7094763	17.251613	608.8850463	6.136639499	608.95897
28.42378856	24611.28908	-50.28717155	-81.46471088	1.393746685	0.210455749	207.8593793	17.70816429	616.9991935	7.166188131	617.0784026
27.40209534	24840.30496	-49.90114147	-81.37928813	1.34815602	0.221097587	209.793239	18.245374	624.5728303	8.482199995	624.6570661
26.24072765	25143.17262	-49.37604118	-81.23950129	1.289684343	0.233432866	210.0715646	18.51779025	633.8440899	10.56841632	633.9343455
25.22019465	25375.30413	-48.94132922	-81.05707484	1.260891074	0.248395542	214.6818839	18.80355451	642.3213413	12.98588885	642.4186667
24.23691466	25640.88851	-48.47835075	-80.86754999	1.224997496	0.264599459	214.9567446	19.27327688	651.0101442	16.58284333	651.1152209
