PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV																						
279.5599556	10183.20925	-45.01376903	-46.03388837	24.08333975	2.687325736	242.9097617	41.62535217	337.8891015	1276.968393	338.4429925																						
267.3183053	10493.46431	-46.84492817	-47.86909202	23.35443431	2.31804907	244.3526199	42.4901348	339.5734579	1025.80776	340.0536181																						
254.9403482	10816.90057	-48.63434332	-49.65157003	23.005306	2.007504838	244.167024	43.48098878	341.5639628	857.4146461	341.9822345																						
243.4087454	11129.08779	-50.27720507	-51.30078937	22.26145869	1.759260081	245.7864855	44.51415007	343.654739	746.5421753	344.0235316																						
232.8192968	11428.39062	-51.7316852	-52.76262722	21.55147684	1.567246298	248.781046	45.06747694	345.8476583	672.8040127	346.1782957																						
222.3282312	11735.39568	-53.18287729	-54.24645536	20.06411806	1.396021162	249.4056917	45.13851031	348.2075727	615.6501188	348.5040968																						
212.4461121	12043.4072	-54.44229988	-55.54583891	18.49350101	1.267353415	251.2421443	45.03993673	350.803568	576.8247246	351.0747692																						
202.5503326	12362.91056	-55.70195839	-56.83686587	17.24173872	1.151187438	251.8308635	44.78884093	353.6333194	545.3990363	353.8816493																						
193.1127247	12680.5877	-56.90892324	-58.06402398	16.34916058	1.050341408	253.3967823	44.71379103	356.5604244	520.8897276	356.7888756																						
184.3869444	12989.27765	-57.92749104	-59.10547396	15.47299355	0.97677458	255.0176359	44.35445761	359.6549467	504.3862258	359.8692408																						
175.7696947	13305.27967	-58.8909637	-60.11581745	14.08934237	0.914752643	254.2878356	43.54078688	363.0278262	491.6820574	363.2303954																						
167.5329114	13617.60532	-59.74157179	-61.02242315	12.64773098	0.867507192	257.7760804	42.83604516	366.6274147	482.8576433	366.8214264																						
159.458106	13934.97093	-60.61510601	-61.93653944	11.61677183	0.820925718	259.9340843	42.13897368	370.3670834	475.1342356	370.5525502																						
151.6997517	14254.84022	-61.40860064	-62.78183463	10.47744074	0.784114936	261.2635178	41.24458521	374.3275087	469.842234	374.5065533																						
144.5610143	14543.90746	-62.13520954	-63.5482675	9.640061366	0.753283416	260.0835916	39.65236184	378.2602346	466.0992933	378.4340463																						
