PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV																								
541.3070506	5298.893859	-3.92930786	72.21888171	27.63130503	52.51252495	207.8187824	22.45087936	320.8806604	203.4698026	323.7201095																								
520.3816353	5608.843696	-6.08525586	73.89819567	27.59565798	46.3767327	210.3413541	23.60005463	321.920385	113.7018057	324.4348006																								
499.9169533	5922.944937	-8.34938276	74.33562824	28.37501788	40.56113694	212.1374861	24.87995039	322.8748398	64.48114392	325.1437965																								
480.4197619	6230.749658	-10.5698469	75.73707727	28.55137245	35.47481047	216.9779291	26.01401504	323.8309323	39.16165733	325.8331141																								
460.0812896	6566.134279	-13.00521848	76.36632542	29.33538548	30.55373109	220.7047822	27.31620732	324.8212481	24.17072662	326.5998859																								
440.7264059	6891.947758	-15.41552038	77.22845146	29.98329451	26.25029915	224.9662767	28.43181528	325.7918138	15.74745836	327.3589442																								
422.473034	7214.635614	-17.74837564	78.65597996	30.2300562	22.67316309	226.0858429	29.68883976	326.7722308	10.88366647	328.1340591																								
403.304841	7562.697589	-20.30339147	80.25799318	30.48204539	19.12399559	229.1736494	31.08308033	327.8279442	7.651381421	328.9922132																								
385.92172	7889.825907	-22.7142672	81.42721114	30.96674521	16.27843077	232.8229513	32.45307188	328.8194645	5.698025372	329.825696																								
368.97871	8219.359089	-25.138438	83.04190239	31.15695901	13.73873306	233.8310568	33.90080474	329.8447329	4.407410439	330.7035783																								
352.8830372	8543.570108	-27.46717942	84.31129505	31.54882495	11.68619504	232.4363229	35.3256494	330.9423798	3.58402398	331.6875428																								
337.0255054	8873.372119	-29.81167402	85.81771042	31.78734819	9.892189008	236.9467471	36.52729357	332.1230092	2.968256065	332.7599211																								
321.7288651	9205.299715	-32.08911733	88.01289405	31.48379575	8.390543382	239.2680741	37.91262736	333.4145857	2.53935287	333.9518197																								
307.5888965	9519.878387	-34.22126463	90.17494564	31.11983303	7.178737676	239.3745468	39.30099572	334.7408984	2.235544407	335.1971457																								
293.345081	9850.513303	-36.39168418	92.58855542	30.5925954	6.106664526	241.8532917	40.53696274	336.2287935	1.99719452	336.6127946																								
279.5599556	10183.20925	-38.47543399	94.88155334	30.10417469	5.228574303	242.9097617	41.62535217	337.8891015	1.817820734	338.2142352																								
267.3183053	10493.46431	-40.30659313	97.56757622	29.19304289	4.560555622	244.3526199	42.4901348	339.5734579	1.691636775	339.8498077																								
254.9403482	10816.90057	-42.09600828	99.56413055	28.7566325	4.001249732	244.167024	43.48098878	341.5639627	1.590829689	341.8036252																								
243.4087454	11129.08779	-43.73887003	102.1529334	27.82682336	3.526413969	245.7864855	44.51415007	343.654739	1.513182507	343.8612385																								
232.8192968	11428.39062	-45.19335016	104.5565304	26.93934605	3.17920383	248.781046	45.06747694	345.8476582	1.455104805	346.0283877																								
222.3282312	11735.39568	-46.64454225	108.4597412	25.08014758	2.853618709	249.4056917	45.13851031	348.2075727	1.40536533	348.3599303																								
212.4461121	12043.4072	-47.90396484	112.5343242	23.11687626	2.62038215	251.2421443	45.03993673	350.8035681	1.369257405	350.9331738																								
202.5503326	12362.91056	-49.16362335	116.1068244	21.5521734	2.398327338	251.8308635	44.78884093	353.6333195	1.336681273	353.7448991																								
193.1127247	12680.5877	-50.3705882	118.9606946	20.43645073	2.20632794	253.3967823	44.71379103	356.5604244	1.308895881	356.6586581																								
184.3869444	12989.27765	-51.389156	121.7127661	19.34124194	2.067857902	255.0176359	44.35445761	359.6549467	1.288994927	359.7427823																								
175.7696947	13305.27967	-52.35262866	125.7691284	17.61167796	1.949835554	254.2878356	43.54078688	363.0278261	1.272275268	363.1038772																								
167.5329114	13617.60532	-53.20323675	130.1638572	15.80966373	1.860064374	257.7760804	42.83604516	366.6274148	1.260211172	366.693179																								
159.458106	13934.97093	-54.07677097	133.6975527	14.52096479	1.770922828	259.9340843	42.13897368	370.3670834	1.247896512	370.4251506																								
151.6997517	14254.84022	-54.8702656	137.7247909	13.09680093	1.701584855	261.2635178	41.24458521	374.3275087	1.238536279	374.3783476																								
144.5610143	14543.90746	-55.5968745	140.9718228	12.05007671	1.643624328	260.0835916	39.65236184	378.2602346	1.230492219	378.3058335																								
137.5394878	14857.52458	-56.29979255	144.7164539	10.89391807	1.591862842	260.6716711	38.51259187	382.4455437	1.223959477	382.4859529																								
131.1930933	15167.2575	-56.84745824	147.313247	10.15669005	1.569305173	258.4539096	36.82219751	386.6687593	1.221854212	386.7063707																								
124.9863799	15456.85119	-57.4387603	150.4960827	9.291338231	1.537751555	259.8098827	35.490853	390.9939573	1.218181209	391.0280844																								
118.8604537	15764.02907	-57.97462793	152.8327801	8.711763344	1.517577919	260.9420952	33.98960849	395.6688593	1.215895226	395.7008196																								
113.224357	16057.05983	-58.41088644	155.9203962	7.94504815	1.510717345	259.8966176	32.8252725	400.3910447	1.215108484	400.420346																								
107.8993202	16348.38271	-58.80956967	158.6023256	7.32673598	1.516098523	260.612148	31.50215454	405.1918931	1.215797025	405.2192382																								
102.7008515	16639.22051	-59.17056031	161.2118437	6.758945136	1.526219089	260.6019667	29.91714086	410.2625446	1.219582866	410.2884244																								
97.99353113	16919.10221	-59.42512294	162.8367252	6.42759274	1.548755293	258.9925134	28.35353314	415.3102191	1.223279411	415.3354586																								
93.48596253	17196.39245	-59.64270172	165.081413	5.974901185	1.583510465	256.4973811	26.69043081	420.5128326	1.228561659	420.5370483																								
89.37671856	17458.75418	-59.77147137	167.6966114	5.466622939	1.628477777	256.6055582	25.28867759	425.6969475	1.237046226	425.7200861																								
85.6243393	17708.08333	-59.83594601	169.510078	5.132996671	1.692579484	252.7396878	24.21729308	430.8207979	1.247189668	430.8435952																								
81.99441868	17963.22816	-59.89583195	170.9634566	4.878821369	1.752338785	251.6854993	23.02269569	436.0690071	1.257394002	436.0917181																								
78.69311607	18207.8814	-59.82751772	172.3189427	4.639413149	1.841660456	248.2742965	22.00727016	441.3658429	1.272590824	441.3888259																								
75.38571819	18458.86607	-59.74205559	173.5106483	4.434922158	1.938961431	250.606823	21.05303113	446.9983362	1.289686075	447.0217961																								
72.40495222	18688.01343	-59.6610129	174.424371	4.282017295	2.044556283	248.1819899	20.36150563	452.3574541	1.307011084	452.3815582																								
69.55209366	18933.6845	-59.46450963	175.8858743	4.041269718	2.17313372	246.2355247	19.5803267	458.0093189	1.329762054	458.0338197																								
66.76851625	19180.31675	-59.2445624	176.9978526	3.860430394	2.328941973	244.3986901	18.81010152	463.8678906	1.358224637	463.8933422																								
64.15445832	19424.07216	-59.03041952	178.3408784	3.655326193	2.482009889	241.4475227	18.1879338	469.6664163	1.38548045	469.6923878																								
61.65086494	19670.62275	-58.72952588	179.8790208	3.428195578	2.673604014	237.9226096	17.20578724	475.7114977	1.422571112	475.7381585																								
59.19004151	19924.58934	-58.40511106	181.4408219	3.209043363	2.900352756	236.1461767	16.64893442	482.0140791	1.464445877	482.0414422																								
