,palma,pure-40,pure-42,pure-45,palma_clean,pure_clean,palma_re-ordered,pure_re-ordered,palma_froz_frac,pure_froz_frac
18,-24.59189678880421,-35.08667262673926,-29.98977543763507,-28.1952491535814,-24.59189678880421,-35.08667262673926,-19.126594020027568,-23.432171066301,0.018264182633151636,0.020376304236928038
19,-24.872383095118238,-35.56017197373795,-30.272488993678106,-34.56217736713347,-24.872383095118238,-35.56017197373795,-19.250625388996447,-23.451941668767795,0.019350127864615468,0.021466838410338245
20,-22.915037553682776,-27.81736470987029,-22.443991229338764,-22.32211760312779,-22.915037553682776,-27.81736470987029,-19.420389964141048,-23.494463533765998,0.020496808413388124,0.022581049036679214
21,-25.273952687341,-33.19024995039226,-28.888526037516247,-28.1952491535814,-25.273952687341,-33.19024995039226,-19.68933309383382,-23.679819238060304,0.021770213474088373,0.023842969865095386
22,-24.6802359004651,-27.774230753004247,-32.120000717921755,-29.522738809003766,-24.6802359004651,-27.774230753004247,-19.811797412519155,-23.809864620903692,0.022901330539947813,0.025063634480641188
23,-24.636066344634656,-28.84419592239431,-31.710487815874902,-28.102019703632465,-24.636066344634656,-28.84419592239431,-19.90033248369754,-23.986927878086394,0.024003831792063085,0.026347848480541093
24,-27.152109641612,-29.960738703855434,-33.217999921998704,-26.456314155285003,-27.152109641612,-29.960738703855434,-20.019940971360782,-24.06843265838301,0.025154274848865055,0.02753893270144968
25,-26.49959334184053,-33.77178647877492,-33.36313801575586,-27.704121549156522,-26.49959334184053,-33.77178647877492,-20.302788685161378,-24.12086456704048,0.0265300484460057,0.028702881922491694
26,-24.703120187635996,-35.2192015243961,-34.68515488701866,-24.70348931710202,-24.703120187635996,-35.2192015243961,-20.30747785116489,-24.15521655523824,0.02755679801918905,0.029849288649118334
27,-25.249582785138998,-35.343262150517546,-30.756311649456553,-29.040049991083155,-25.249582785138998,-35.343262150517546,-20.325016570605996,-24.15903493142817,0.0286021012908516,0.03095971109286443
28,-27.672387465285862,-35.08667262673926,-29.424348325549026,-29.883190577127124,-27.672387465285862,-35.08667262673926,-20.60504566474429,-24.165244154666937,0.030031745842426905,0.03207365633835384
29,-26.15814178763599,-27.586839214365522,-34.83561293839281,-30.30533912527179,-26.15814178763599,-27.586839214365522,-20.707283414958415,-24.24966927846611,0.031221472579065504,0.03329556285300493
30,-18.90768861212149,-28.619945219397117,-28.345239955006765,-26.456314155285003,-18.90768861212149,-28.619945219397117,-20.897288112121455,-24.254592240874757,0.0325582178591355,0.034412399643957994
31,-26.50346356213806,-37.790164537710005,-31.08127892800186,,-26.50346356213806,-37.790164537710005,-20.96863249030886,-24.577185318110374,0.03372322397925036,0.03599493624921905
32,-24.903441194105948,-30.976749964354106,-29.085905314088862,,-24.903441194105948,-30.976749964354106,-20.96863249030886,-24.581893994579016,0.034777074728601934,0.03712688968488891
33,-25.92071106645133,-19.588153125991376,-27.73586692120214,,-25.92071106645133,-19.588153125991376,-20.992389998572392,-24.70348931710202,0.035871521997947166,0.03844116173466228
34,-19.420389964141048,-36.683660415708005,-19.71624518045118,,-19.420389964141048,-36.683660415708005,-21.0481970487952,-24.864529799877918,0.037024733896778725,0.03982975009396576
35,-26.406693696364474,-36.32328621208915,-30.045521114654306,,-26.406693696364474,-36.32328621208915,-21.066457882919234,-24.950266706432885,0.038115622833721025,0.04110900633490963
36,-20.707283414958415,-23.057548955468015,-29.694657079136555,,-20.707283414958415,-23.057548955468015,-21.074803045541817,-24.994104280709116,0.03918990848416531,0.04232515797450542
37,-28.805870443734676,-29.92303601357619,-28.09160287566376,,-28.805870443734676,-29.92303601357619,-21.104478245353487,-25.063242373278495,0.04030576951096452,0.04358932429408961
38,-25.284388452368912,-35.103118928291416,-26.33409048135249,,-25.284388452368912,-35.103118928291416,-21.22736423730694,-25.186728718841405,0.04160731392592083,0.04495682763079141
39,-28.805870443734676,-34.5749969117,-27.696572474882952,,-28.805870443734676,-34.5749969117,-21.22736423730694,-25.194423671642355,0.04267416812914958,0.046123654018892506
40,-26.406693696364474,-37.412101815708,-32.17953309635723,,-26.406693696364474,-37.412101815708,-21.541725804778974,-25.22793364297864,0.04438879452818722,0.047339626044979696
41,-22.595610613699733,-19.588153125991376,-32.26148964070487,,-22.595610613699733,-19.588153125991376,-21.69706314607042,-25.497497388692636,0.04579934257338271,0.04901241843800281
42,-22.37840483359877,-31.660490281611402,-26.478344066336568,,-22.37840483359877,-31.660490281611402,-21.760052344506033,-25.517806630466737,0.04702592988030012,0.050219349613247956
43,-25.87951757226571,-33.86197369242122,-33.929305441631655,,-25.87951757226571,-33.86197369242122,-21.883996488907755,-25.61602099161502,0.04839364268553355,0.05158502355330964
44,-27.92875109329737,-19.588153125991376,-22.707649770255696,,-27.92875109329737,-19.588153125991376,-21.9670244852855,-25.65632247050021,0.049681276790433535,0.05284041325990839
45,-20.897288112121455,-30.111784095607458,-27.21948398263603,,-20.897288112121455,-30.111784095607458,-22.002754121861905,-25.662254995772464,0.050867908089505004,0.05402713450108121
46,-25.87951757226571,-29.1864531669765,-27.50655087780112,,-25.87951757226571,-29.1864531669765,-22.072258902694568,-25.691298843990104,0.0521379126643641,0.05526411314973492
47,-27.04658388143097,-27.159835262982792,-32.04185844532768,,-27.04658388143097,-27.159835262982792,-22.144401626291263,-25.752441688931,0.05342126742945956,0.056574267040157056
48,-26.16995337713504,-27.917996074530596,-28.622404971081938,,-26.16995337713504,-27.917996074530596,-22.18594072323983,-25.888789920137086,0.05463650732044775,0.05805867464515753
49,-25.269630169296477,-37.47874369410473,-26.357767989486973,,-25.269630169296477,-37.47874369410473,-22.191802563236873,-26.077052260533563,0.05576626842865916,0.05967436246870812
50,-23.248554548077944,-27.917996074530596,-25.65632247050021,,-23.248554548077944,-27.917996074530596,-22.20237361925571,-26.137452751480478,0.05690868932103028,0.06100883375144327
51,-25.647985320448363,-27.648362971860017,12.46235164575362,,-25.647985320448363,-27.648362971860017,-22.25998744476266,-26.262804175045055,0.05817511618476839,0.06250341193987559
52,-27.629709455373483,-29.377477326714832,-31.610721559703357,,-27.629709455373483,-29.377477326714832,-22.33437120048919,-26.290409306339402,0.05949200422826465,0.06377236210006353
53,-23.417435778759728,-34.052896805043225,-18.64444965632539,,-23.417435778759728,-34.052896805043225,-22.36267248502195,-26.295392665734973,0.06069130330763128,0.06498793037326103
54,-23.03532456742176,-30.140741118152228,-30.371442903000652,,-23.03532456742176,-30.140741118152228,-22.37840483359877,-26.33409048135249,0.061858703912829466,0.0662888216606816
55,-26.645606545091557,-31.963918652516004,-27.739978673252,,-26.645606545091557,-31.963918652516004,-22.470019740930965,-26.347334629506893,0.06324125526834742,0.06752801761426444
56,-23.332995163418836,-28.21135236650937,-25.194423671642355,,-23.332995163418836,-28.21135236650937,-22.4791218971413,-26.357767989486973,0.06439663862771869,0.06876109320478754
57,-29.526770375476474,-26.643853589617418,-31.330868305109075,,-29.526770375476474,-26.643853589617418,-22.487238855290244,-26.37027398882053,0.06555006506542527,0.07000062569633228
58,-22.863081732534532,-33.12563876543064,-29.319100675853694,,-22.863081732534532,-33.12563876543064,-22.49583779411362,-26.456314155285003,0.06670573658663348,0.07143986691302132
