PRES	HGHT	TEMP	DWPT	RELH	MIXR	DRCT	SKNT	THTA	THTE	THTV																						
279.5599556	10183.20925	-45.01376903	-57.24190588	24.08333975	2.687325736	242.9097617	41.62535217	328.2591039	1240.574196	328.7972088																						
267.3183053	10493.46431	-46.84492817	-59.09789472	23.35443431	2.31804907	244.3526199	42.4901348	329.8193442	996.3418368	330.2857121																						
254.9403482	10816.90057	-48.63434332	-60.78854514	23.005306	2.007504838	244.167024	43.48098878	331.6766883	832.595008	332.0828523																						
243.4087454	11129.08779	-50.27720507	-62.48366103	22.26145869	1.759260081	245.7864855	44.51415007	333.6357044	724.7772147	333.9937451																						
232.8192968	11428.39062	-51.7316852	-64.00325027	21.55147684	1.567246298	248.781046	45.06747694	335.7003561	653.0636864	336.0212924																						
222.3282312	11735.39568	-53.18287729	-65.80084323	20.06411806	1.396021162	249.4056917	45.13851031	337.9255736	597.4709795	338.2133418																						
212.4461121	12043.4072	-54.44229988	-67.48733528	18.49350101	1.267353415	251.2421443	45.03993673	340.3869949	559.6968004	340.6501431																						
202.5503326	12362.91056	-55.70195839	-69.07584066	17.24173872	1.151187438	251.8308635	44.78884093	343.0736677	529.1131732	343.3145824																						
193.1127247	12680.5877	-56.90892324	-70.48738217	16.34916058	1.050341408	253.3967823	44.71379103	345.8556848	505.2514557	346.0772774																						
184.3869444	12989.27765	-57.92749104	-71.7412522	15.47299355	0.97677458	255.0176359	44.35445761	348.8077081	489.1738735	349.0155391																						
175.7696947	13305.27967	-58.8909637	-73.19979267	14.08934237	0.914752643	254.2878356	43.54078688	352.0310842	476.7881558	352.2275172																						
167.5329114	13617.60532	-59.74157179	-74.64124229	12.64773098	0.867507192	257.7760804	42.83604516	355.4786852	468.1744826	355.6667972																						
159.458106	13934.97093	-60.61510601	-75.93495179	11.61677183	0.820925718	259.9340843	42.13897368	359.0597268	460.6283237	359.2395312																						
151.6997517	14254.84022	-61.40860064	-77.26590501	10.47744074	0.784114936	261.2635178	41.24458521	362.8576954	455.4457428	363.0312539																						
144.5610143	14543.90746	-62.13520954	-78.40018252	9.640061366	0.753283416	260.0835916	39.65236184	366.6312076	451.76979	366.7996757																						
